,id,latitude,longitude,is_location_exact,Property_ID,bedrooms,price,review_scores_rating,number_of_reviews,std_review,Neighbourhood_ID,cleaning_fee,security_deposit,minimum_nights,instant_bookable,is_business_travel_ready,Cancellation_ID,availability_365,Wifi,TV,kitchen,Distance_from_center,Distance_from_airport
164,198584,52.49888916,13.32385619,1,2002,1,38,93,9,2.781965593,1026,30,200,7,0,0,3002,321,1,1,0,6,8.5
165,198896,52.48087998,13.35450253,1,2002,1,25,83,10,2.527418709,1110,0,0,1,0,0,3002,0,1,1,1,5.5,11
166,200125,52.43736999,13.22265649,1,2003,2,89,94,0,2.85,1135,40,0,4,0,0,3001,55,1,1,1,15.4,15.9
167,201224,52.50448479,13.35903345,1,2002,1,88,96,189,2.475535904,1122,49,0,3,1,0,3003,133,1,1,1,3.6,8.8
168,203634,52.54301026,13.41525069,1,2003,2,125,98,110,2.616435542,1050,70,750,4,1,0,3001,97,1,1,1,2.7,8.9
169,204609,52.50521255,13.47859039,1,2002,1,49,94,129,2.487635392,1078,20,100,2,0,0,3003,21,1,0,1,5.2,14.6
170,204617,52.50516592,13.2946603,1,2002,1,50,100,2,2.990099337,1079,10,0,1,1,0,3002,0,1,1,1,7.6,7.6
171,205296,52.41234996,13.50031407,1,2002,2,100,94,0,2.85,1105,60,0,5,0,0,3001,282,1,1,1,13.6,22.7
172,206021,52.52464161,13.29949436,1,2002,1,35,92,5,2.775614712,1072,50,385,3,1,0,3001,316,1,1,1,7.2,5.4
173,206454,52.53202563,13.40097022,1,2002,1,70,99,22,2.876259399,1019,30,150,3,0,0,3003,15,1,1,1,1.4,8.6
174,207740,52.50041701,13.43577884,1,2002,3,195,100,7,2.96619691,1077,75,500,3,0,0,3003,0,1,1,1,3,12.5
175,208495,52.51274965,13.46357922,0,2002,1,150,94,0,2.85,1033,30,300,2,0,0,3001,0,1,0,1,4,13.3
176,209649,52.51079406,13.3021617,1,2002,1,200,99,31,2.841723478,1056,45,0,7,0,0,3001,323,1,1,1,7,7
177,210734,52.52297571,13.334157,1,2002,1,165,94,245,2.393146793,1074,38,0,3,1,0,3003,295,1,1,1,4.8,6.2
178,212348,52.50811453,13.46325581,1,2002,1,55,94,0,2.85,1033,30,0,2,1,0,3003,26,1,1,1,4.2,13.5
179,214491,52.5207626,13.38191871,1,2002,1,35,96,161,2.499943807,1003,30,0,1,0,0,3001,326,1,0,1,1.6,8.3
180,214518,52.51993425,13.30055755,1,2002,1,51,83,7,2.54119691,1091,5,500,1,1,0,3002,291,0,0,0,7.1,5.9
181,214784,52.49004436,13.4269673,1,2002,1,35,98,189,2.525535904,1103,20,0,2,1,0,3003,64,1,1,1,3.6,12.9
182,214855,52.50183957,13.35464669,1,2002,1,45,94,195,2.421137036,1122,0,0,3,1,0,3003,129,1,1,0,4,8.9
183,220445,52.52470399,13.29955784,1,2002,1,60,93,16,2.751071894,1072,75,200,30,0,0,3001,276,1,1,1,7.1,5.4
184,220808,52.43010436,13.32693122,1,2002,1,45,96,29,2.774131784,1090,20,0,2,0,0,3003,328,1,1,1,11.3,16.1
185,221015,52.54062968,13.35147394,1,2002,2,75,96,413,2.408041439,1124,30,0,1,1,0,3002,107,1,1,1,4.3,5.3
186,222784,52.52980344,13.34036669,1,2002,1,69,94,195,2.421137036,1074,60,500,60,0,0,3001,339,1,1,1,4.5,5.8
187,223622,52.5150299,13.44384852,1,2002,1,45,100,6,2.970882267,1058,50,400,2,0,0,3003,0,1,0,1,2.7,12
